Tweets,Score,Sentiment,
1,thank you for sending us your crns and showing us your interest for olaselect yesterday well get in touch with our winners sholy,0.33,Positive
2,"
worry not autoconnect lure mode in all olacabs is on its way",-0.33,Negative
3,kabaliday,0,Neutral
4,were in do let us know how we can help,0.25,Positive
5,done,0,Neutral
6,"fridayfeeling kicking in
if you need a car for your weekend exploits book olarentals
",-0.12,Negative
7,well traffic is annoying but ridesharing would help to reduce the cars on road amp less carsless traffic olashare,0.077,Positive
8,check your mailbox to find out your ecofriendly quotient olashare,0,Neutral
9,stuck cos of the bmtcstrike let us know we might be able to help you bangalore,0,Neutral
10,theres enough for everyone catch em all on your app,0.2,Positive
11,hey when you get an auto upgradeyou pay for the ride you have chosen you just enjoy the ride,0.2,Positive
12,there are no extra payments but if you feel that youve been charged wrongly please share the paicular invoice with us,0,Neutral
13,happy to hear we could help staysafe,0.5,Positive
14,thats a chat wed love to have eavesdropped into kabali,0.17,Positive
15,wed be happy to help anyone affected by the strike let us know,0.38,Positive
16,"icymi how to ride ola share like a boss olashare 
ps also its 50 less than regular cab fares ftw
",0.15,Positive
17,theres ridesharing it keeps more cars off the road olashare,0,Neutral
18,mumbai win an allexpensepaid trip to dubai interested find out more,0.29,Positive
19,hey nikita we have dmed you a little something to help with your travel back home bmtcstrike,0.1,Positive
20,this is why wed like to encourage more people to share their daily rides with others headed in the same direction olashare,0.18,Positive
21,we do care can you tell us what happened we will so it out for you,0.2,Positive
22,dont mess with pog stay connected always olaprime autoconnect,-0.12,Negative
23,sounds like the purrfect ride,0.5,Positive
24,ah we wish,0,Neutral
25,hey write to us at alliancescom and well connect you to the right people,0.29,Positive
26,want a luxury ride at your disposal through the weekend follow andto get the contest staed rentalux,0.091,Positive
27,contest stas in 10 minutes as always follow us andthe contest tweet to paicipate in the contest rentalux,0,Neutral
28,tag your friend and convince us why heshe should have a ride of luxury over the weekend rentalux,0.38,Positive
29,well gift a rented ola lux over the weekend on your behalf to your friend to the most convincing tweet rentalux,0.36,Positive
30,larissa congrats on that rentalux,0,Neutral
31,doesreciprocate your feelings of friendship rentalux,0,Neutral
32,friend needs some swag get him an olalux ride for the whole weekend tell us why he deserves it rentalux,0.18,Positive
33,sorry buddy you have to tag a friend rentalux,0,Neutral
34,then you should quickly convince a friend to paicipate and win it for yourentalux,0.5,Positive
35,all bihdays must be celebratedhappy belated bihday buddy rentalux,-0.14,Negative
36,oops looks like you forgot to tag your friend rentalux,0.29,Positive
37,thats so wonderfulcongrats to herbut it looks like you forgot to tag her to your tweet rentalux,0.11,Positive
38,wow thats deep tejas tag her to the tweet to get a chance to gift her that luxury over the weekend,0.27,Positive
39,contest ale luxury rides for the entire weekend to be wonrentalux,0.14,Positive
40,"happiest bihday to mikesh 
 
you guys should rentalux for",0,Neutral
41,youve been tagged keep your fingers crossed rentalux,0,Neutral
42,awesome congrats,0.5,Positive
43,thats so sweet of you and congratzon becoming a ceified digital marketerrentalux,0.14,Positive
44,well he does deserve some much needed pampering good luck and dont forget to tag your hubbys twitter handle in your response,0.36,Positive
45,this could be your ride this weekend for two full days get a friend to convince us you need it rentalux,0.2,Positive
46,that would indeed be awesome good luckrentalux,0.5,Positive
47,a really lucky guy theres a lot happening in his liferentalux,0.14,Positive
48,of course autoconnect wifi ftw rentalux,0.2,Positive
49,rentalux maybe,0,Neutral
50,the contest has been extended till tomorrow keep the replies coming in folks and make your friends weekend truly memorable rentalux,0.21,Positive
51,hi nikita well not be able to extend the given coupon however weve sent you a small gift on dm,0.18,Positive
52,and for those who just cant wait till then you can rent an olalux from your ola app right away rentalux,0.17,Positive
53,the wifi inis a blessing in traffic jams productive time even when stuck keep up the innovations staupindia,0.25,Positive
54,reasonstorideprime so you can try every single prisma filter to pick out the best one for your dp autoconnectwifi,0.091,Positive
55,autoconnectwifi allows riders to connect to wifi in any ola cab just by entering their mobile no as password,0.091,Positive
56,and its a onetime sign in you will be automatically connected to the internet in all your subsequent rides,0.12,Positive
57,thank you these words of encouragement for autoconnectwifiour engineers are beaming with pride olaprime,0.25,Positive
58,okay lure mode coming soon,0,Neutral
59,thatll ceainly be a wonderful gift dont forget to tag your wife to the response irfan,0.2,Positive
60,show your love for that special person by paicipating in rentalux and tagging them in your response hurry the contest closes today,0.25,Positive
61,sounds like a good planrentalux,0.75,Positive
62,thank you for these words,0.5,Positive
63,the rentaluxcontest closes in an hour followand paicipate for a chance to gift your friend a luxury weekend with olalux,0.27,Positive
64,ridesharing is the answer it effectively reduces the number of cars on roadless traffic olashare,0.11,Positive
65,yes how can we help,0.33,Positive
66,"looks like his trip has just ended youre on your own buddy 
cab chahiye kya",0.2,Positive
67,"it was a fun contest guys so many convincing reasons to gift an olalux 
winners to be announced sholy stay tuned rentalux",0.36,Positive
68,congratsthanks toyou have got yourself a luxury ride for the weekend rentalux,0.14,Positive
69,true that buddy you can rentalux to make that special day for your loved one even more awesome,0.27,Positive
70,nice try,0.5,Positive
71,ride an olaprime to s movie night amp get exclusive access to the prime lounge dilphirsechahtahai,0,Neutral
72,a big thank you torentalux ampfor todays pleasurable experience more pictures tomorrow,0.22,Positive
73,true that sneha glad to see that you made a lot of great memories this weekend with rentalux,0.2,Positive
74,,,
75,hey we’re taking your killernote5 out for a drive to give our folks a glimpse of it well call it theatremaxonola,0.091,Positive
76,perfect sounds like our users are about to enter the world of viual reality with killernote5theatremaxonola,0.33,Positive
77,experience theatremax on killernote5onflipka at your doorstep with us watch this space for more theatremaxonola,0,Neutral
78,staing today delhi mumbai and bangalore will compete for cleaner air by riding ola share doyourshare,0.15,Positive
79,coming soon leena,0.33,Positive
80,delhi are you listening doyourshare for your city,0,Neutral
81,"down with co2 emissions mumbai
doyourshare for your city",0,Neutral
82,time to bring down the co2 emissions in the city doyourshare for namma bengaluru,0.14,Positive
83,heres a unique chance to get a firsthand experience of the killernote5 theatermax with yourride,0,Neutral
84,dont forget to tag your friends and make a larger impact in reducing co2 emissions in your city,0,Neutral
85,am suppoingdoyourshare initiative what about you r u suppoing,0,Neutral
86,that will help a lot in reducing pollution and the traffic in your city doyourshare,0.12,Positive
87,and its as simple as taking an olashare doyourshare for your city,0,Neutral
88,way to godoyourshare,0,Neutral
89,,,
90,folks are you with us lets reduce co2 emissions together doyourshare,0.17,Positive
91,way to go avinash keep up the good work doyourshare,0.33,Positive
92,"which city do you think is the greenest of the three
make your choice now folks doyourshare",0,Neutral
93,"anyone interested in winning a vr headset let us know with your s
",0.33,Positive
94,which movie will you like to watch with theatremaxonola and why funniest answers win get staed,0.3,Positive
95,youve won a cool vr headset please dm us your mailing address and phone number theatremaxonola,0.3,Positive
96,youve won a cool vr headset please dm us your mailing address and contact number theatremaxonola,0.3,Positive
97,the race has begun delhi and mumbai are inching ahead right now come on bengaluru buck up doyourshare,0.17,Positive
98,"if youre in guwahati help the floodhit victims with food amp other necessities 
",0,Neutral
99,open the ola app between aug 68 from 1pm7pm click on the donate icon amp well be at your doorstep to collect your donations,0.15,Positive
100,food clothes and other necessary items only thank you,0.2,Positive
101,were collecting only in guwahati for now we appreciate that you care,0.2,Positive
102,the fight for reducing co2 emission is getting stronger bangalore has caught up with delhi amp mumbai doyourshare,0.091,Positive
103,contest ale helped in reducing the co2 emission for your citydoyourshare,0.17,Positive
104,were serious about reducing co2 emissions have you taken the max share rides this week share your osn and win something cool doyourshare,0.071,Positive
105,"bengaluru has raced ahead of delhi and mumbai 

now doyourshare for cleaner air for your city",0.1,Positive
106,send us a pic amp tell us what inspires you to travel in india to win a blr2border trip with olaoutstation,0.18,Positive
107,a healthy lead for bengaluru come on mumbai and delhi doyourshare to score a lead,0.44,Positive
108,heading out for friendshipday celebrations like all best friends were always near you when you need usbook now,0.36,Positive
109,bengaluru is leading the race for cleaner air this weekend doyourshare to help mumbai and delhi get ahead,0.25,Positive
110,one more week to go and bengaluru has taken a big lead come on mumbai and delhi doyourshare,0.2,Positive
111,every citys got something to say about the competition pick your quote amp share it with your friends doyourshare,0.17,Positive
112,bengaluru is still leading mumbai and delhi doyourshare take ola share ride and help reduce co2 emission,0.15,Positive
113,the green rider of the week iswith most number of share rides he has reduced co2 emissions in his city doyourshare,0,Neutral
114,delhi amp mumbai shareyourride as bengaluru is slowing inching towards the target of 400 tonnes of co2 reduction,-0.091,Negative
115,there you go delhi now bengaluru and mumbai doyourshare to take your city to the victory line,0.11,Positive
116,"prove your city is better take an ola share before 15th august amp reduce co2 emissions by 400 tonnes doyourshare
",0.17,Positive
117,hi soumopriyo we have already informed our maximum share ride thank you,0.14,Positive
118,ola team of vets werekaziranga on august 6 amp 7 to attend to the injured domestic amp wild animals,-0.17,Negative
119,delhi is maintaining its lead bengaluru and mumbai do your bit for cleaner air in your city doyourshare,0.2,Positive
120,delhi amp bengaluru is slowly taking a bigger lead mumbaidoyourshare to contribute to reduction of co2 emission,0.091,Positive
121,bengaluru has sneaked past delhi and mumbai in the race to achieve cleaner air doyourshare,0.1,Positive
122,which city do you think will be the first to reduce co2 emission by 400 tonnes doyourshare,0.12,Positive
123,bengalurus lead is getting bigger come on delhi amp mumbai doyourshare and get ahead in the race to cleaner air,0.21,Positive
124,only 5 days to go and bengaluru has a commanding lead time to pull up your socks delhi amp mumbai doyourshare,0.18,Positive
125,fundrive indeed,0,Neutral
126,bengaluru is leading steadily vs delhi and mumbai doyourshare to help your city in reducing co2 emissions,0.2,Positive
127,doyourshare,0,Neutral
128,doyourshare,0,Neutral
129,amazing service specially as i was new to this place trusted you and you proved me right making my trip amazingthankyouola,0.36,Positive
130,going green was never easier take an ola share and help reduce co2 emissions in your city doyourshare,0.18,Positive
131,did you doyourshare if yes heres your chance to show off amp win ola money while your citys winning cleaner air,0.23,Positive
132,contest ale paicipate and win ola moneydoyourshare,0.17,Positive
133,hey mumbai and delhi bengaluru has fuher increased its lead in the quest for cleaner air doyourshare,0.18,Positive
134,the solution is ride sharing reduces traffic and pollution doyourshare,-0.14,Negative
135,4 days to go to reach the goal of reducing 400 tonnes of co2 emission in bengaluru delhi amp mumbai doyourshare,0,Neutral
136,it was fun having you on board guys olaprimesuv,0.25,Positive
137,congrats vijay you have won for yourself a blr2border trip with olaoutstation well dm the details sholy,0.22,Positive
138,send your message to jawans as a tweet amp ola outstation will deliver it to them on independence day sainikkosandesh,0.083,Positive
139,your messages would be handdelivered to our jawans at the wagah border by ola outstation keep em coming sainikkosandesh,0.1,Positive
140,bengaluru has fuher strengthened its lead on the quest for cleaner air come on delhi and mumbai doyourshare,0.27,Positive
141,finds the sweet spot to engage with commuters from delhi mumbai and bangalore with doyourshare,0.22,Positive
142,"sainikkosandesh kashmir se leke kabyakumari sabpe bhari army humari 
respect realheroes indianarmy",0.091,Positive
143,great job pratap thanks for being the hero in your citys quest for clean air,0.44,Positive
144,the tweets with the best message to our jawans will be featured bysainikkosandesh jaihind,0.25,Positive
145,its not only on independanceday amp republicday that we remember you you are always in our prayers amp best wishes jaihind sainikkosandesh,0.091,Positive
146,,,
147,,,
148,3 more days to reach the goal bengaluru is way ahead of mumbai and delhi doyourshare,0,Neutral
149,ready to become a superhero for your city share your green selfieamp spread the news doyourshare,0.1,Positive
150,mumbai has now clinched the second spot from delhi time to become the heroes for your citydoyourshare,0.2,Positive
151,2 days to go come on delhi and mumbai doyourshare to get past bengaluru,0.12,Positive
152,bengaluru is slowly inching towards finishing line of 400 tonnes of co2 reduction delhi amp mumbaidoyourshare,-0.091,Negative
153,blr2border olaoutstation,0,Neutral
154,last leg 100 kms to reach amritsarblr2border olaoutstation,0,Neutral
155,recharge your ola money on the ola app using the code assam to donate to the cms relief fund amp help rebuild assam,0.19,Positive
156,yours truly is travelling to wagah border to salute the jawans this independence day blr2border olaoutstation,0.1,Positive
157,one day more to go come on bengaluru mumbai and delhi doyourshare to reduce co2 emission,0.11,Positive
158,every time you take an ola share you become a super hero for your city doyourshare,0.3,Positive
159,bengaluru seems to be first to the victory line come on delhi and mumbai doyourshare,0.22,Positive
160,"wishing you a very happy 70th year of independence 
independencedayindia",0.2,Positive
161,have you taken your first ever ola share ride between 3rd and 15 august get prepared to be surprised doyourshare,0,Neutral
162,bengaluru is first in reducing co2 emission by 400 tonnes come ondelhi amp mumbai doyourshare,0.1,Positive
163,what a feeling indeed thanks for capturing it for us to experience jai hind blr2border,0.12,Positive
164,wish you a very happy independence day too independencedayindia,0.2,Positive
165,mumbai and delhi are also inching towards the goal of 400 tonnes of co2 reduction doyourshare,0,Neutral
166,all the three cities bengaluru delhi amp mumbai have successfully achieved the goal of co2 reductiondoyourshare,0.2,Positive
167,thank you,1,Positive
168,had an amazing experience while travelling with olaoutstation firsttimethe customer care service atis really awesome thankyou,0.17,Positive
169,what feeling gone insane jai hind wagahborder blr2border olaoutstation,-0.12,Negative
170,the no of olashare rides bengaluru took was phenomenal its time we celebrate bengalurus victory doyourshare,0.4,Positive
171,introduces oneofitskind billboard to track realtime carbon emission levels,0,Neutral
172,our app can hook you up with the nearest cabs for everything else you can reach us at 33553355 prefixed with your city code,0,Neutral
173,"congrats mumbai delhi bengaluruyou have done your share for cleaner airif you contributed
doyourshare",0.2,Positive
174,"peeps ride an olalux before aug 23 amp you could win pvr gold class tickets 
",0.2,Positive
175,do it for your siblings happyrakshabandhan,0,Neutral
176,whether youre in the same city or away therere somethings abt you only your sibling gets happyrakshabandhan,0,Neutral
177,hyderabad open the ola app between 11am amp 3pm click on rakhi for a sweet surprise,0.22,Positive
178,"so proud of sakshimalik driving indias dreams amp hopes at rio2016
you are the real superstar
thank you",0.27,Positive
179,well ridesharing would definitely help in reducing the traffic in bangalore even during the rains olashare,0.3,Positive
180,hyderabad the deadline has been extended till 5pm youve still got a couple of hours to be sweetly surprised,0.091,Positive
181,ridesharing would help a lot in reducing the traffic congestion as well olashare,0.12,Positive
182,india is a travelers paradise for offbeats destinations share one amp winolaoutstation,0.11,Positive
183,contest ale for all you avid travellersolaoutstation,0.25,Positive
184,were committed to make the roads safer for you proud to be the travel paner for national workshop on road safety,0.18,Positive
185,and suppo ridesharing a sureshot way to reduce traffic in the city olashare bengalurutraffic,0,Neutral
186,today’s one day your boss won’t mind if you leave work early rush back to home to cheer for sindhu match stas at 655 pm gosindhu,0.12,Positive
187,leave work early and be home in time to watch pv sindhu serve you over gosindhu,0.22,Positive
188,use promo code sindhu and get rs 100 off on your ola ride between 5 and 6 today code applicable on mini prime amp lux gosindhu,0.067,Positive
189,go for it abhishek,0,Neutral
190,we always love the way photos look on instagram so thats our preferred destination for cabtured,0.2,Positive
191,better to be early than late dont you think gosindhu,0.17,Positive
192,"code is live pack up book your ride and head home 
gosindhu",0.12,Positive
193,for those who are just about to leave home validity of coupon code sindhu extended till 630pm gosindhu,0.1,Positive
194,we think it could and weve already staed implementing this in our cabs,0,Neutral
195,rosary church seems like a very intriguing place olaoutstation,0.29,Positive
196,tamhini ghats is indeed an amazing place to visit olaoutstation offbeat,0.12,Positive
197,"shop till you drop more details
shop now",0,Neutral
198,are you a hardcore chennaiite ready to put your knowledge about the city you love to the test madrasday quiz coming up olamadras,0.33,Positive
199,contest ale the madrasday quiz coming upolamadras,0.17,Positive
200,coming soon madhanand spread the news,0.2,Positive
201,a months woh of free rides in chennai up for grabs olamadras madrasday,0.12,Positive
202,great choice olaoutstation,0.33,Positive
